time xmove ymove altitude xerror xintegral yerror yintegral
27,52 -2565 -693 550 -1995 -570 -539 -154
27,60 -2565 -693 374 -1995 -570 -539 -154
27,64 -2565 -693 176 -1995 -570 -539 -154
27,72 -2565 -693 66 -1995 -570 -539 -154
27,80 -2565 -693 -154 -1995 -570 -539 -154
27,84 -2565 -693 -352 -1995 -570 -539 -154
27,84 -2565 -693 -484 -1995 -570 -539 -154
27,92 -2565 -693 -572 -1995 -570 -539 -154
27,92 -2565 -693 -528 -1995 -570 -539 -154
28,00 -2565 -693 -352 -1995 -570 -539 -154
28,04 1935 2934 -154 1505 430 2282 652
28,04 1935 2934 -88 1505 430 2282 652
28,16 1935 2934 -5962 1505 430 2282 652
28,28 1935 2934 -8272 1505 430 2282 652
28,32 1935 2934 -7810 1505 430 2282 652
28,40 1935 2934 -7414 1505 430 2282 652
28,53 1935 2934 -5060 1505 430 2282 652
28,57 1935 2934 -4356 1505 430 2282 652
28,65 1935 2934 -3894 1505 430 2282 652
28,69 1935 2934 -4752 1505 430 2282 652
28,73 1935 2934 -4224 1505 430 2282 652
28,81 1935 2934 2640 1505 430 2282 652
28,89 1935 2934 2178 1505 430 2282 652
28,97 1935 2934 2178 1505 430 2282 652
29,05 1935 2934 -7348 1505 430 2282 652
29,17 1935 2934 -12188 1505 430 2282 652
39,19 1935 2934 -2750 1505 430 2282 652
39,27 1935 2934 -2992 1505 430 2282 652
39,31 1935 2934 -2882 1505 430 2282 652
39,43 1935 2934 -3278 1505 430 2282 652
39,47 1935 2934 -3520 1505 430 2282 652
39,56 -162 1242 -3630 -126 -36 966 276
39,64 -162 1242 -3762 -126 -36 966 276
39,68 -162 1242 -3608 -126 -36 966 276
39,76 -162 1242 -3674 -126 -36 966 276
39,76 198 747 -3300 154 44 581 166
39,84 198 747 -3828 154 44 581 166
39,88 198 747 -3762 154 44 581 166
39,96 504 369 -3850 392 112 287 82
40,00 612 306 -3850 476 136 238 68
40,12 918 54 -3630 714 204 42 12
40,20 918 54 -3564 714 204 42 12
40,28 1125 -63 -3278 875 250 -49 -14
40,32 1125 -126 -3146 875 250 -98 -28
40,40 1125 -252 -3080 875 250 -196 -56
40,40 1125 -252 -2926 875 250 -196 -56
40,44 1224 -441 -2794 952 272 -343 -98
40,48 1224 -504 -2728 952 272 -392 -112
40,53 1224 -504 -2618 952 272 -392 -112
40,61 1224 -630 -2464 952 272 -490 -140
40,61 1224 -630 -2398 952 272 -490 -140
40,65 1224 -630 -2288 952 272 -490 -140
40,77 1170 -567 -1958 910 260 -441 -126
40,85 1125 -504 -1980 875 250 -392 -112
40,93 1125 -504 -1936 875 250 -392 -112
40,97 1125 -504 -1804 875 250 -392 -112
41,01 1017 -504 -1760 791 226 -392 -112
